Generation,RockUtility,PaperUtility,ScissorsUtility,LizardUtility,SpockUtility,TOTALUTILITY,RockSpecialists,PaperSpecialists,ScissorsSpecialists,LizardSpecialists,SpockSpecialists
84,6545.877741935481,6325.455064122016,7637.0567741935465,10722.30178459938,7261.0102247869745,38491.70158963739,5,3,17,151,24
85,6749.46435483871,6436.211761823016,7656.458225806445,10345.970515088446,7258.337830454198,38446.442688010815,4,2,17,154,23
86,6737.4925806451565,6321.514459977919,7656.459193548389,10307.865275754426,7269.492366939459,38292.82387686535,4,9,18,149,20
87,6712.2249999999985,6530.390138569334,7651.075161290319,10302.144406867843,7361.944348204466,38557.77905493196,4,7,14,150,25
88,6681.332096774189,6703.560442900399,7740.519838709676,10121.566222684696,7145.065157357282,38392.04375842624,5,3,15,152,25
89,6757.547419354836,6436.356335151524,7594.318548387094,10164.14520291363,7304.059832299162,38256.427338106245,10,4,15,152,19
90,6582.205645161291,6492.6975764903655,7798.707580645161,10350.74155046827,7246.893669997076,38471.24602276216,4,5,16,154,21
91,6551.543870967741,6536.023342582623,7758.149677419363,10340.682565036423,7540.002927650285,38726.40238365643,6,8,13,149,24
92,6615.0274193548385,6257.802304438287,7772.641612903228,10294.555723204996,7481.82812421591,38421.85518411726,4,2,26,146,22
93,6590.4825806451645,6367.821233756712,7815.46241935484,10374.092216441206,7341.668946545193,38489.52739674312,5,5,17,161,12
94,6620.152419354841,6381.998755196432,7783.258709677424,10383.11605098855,7382.8581745922575,38551.38410980951,3,5,18,151,23
95,6815.790967741944,6543.042692570828,7805.354677419357,10035.68149323621,7287.619818502118,38487.48964947046,9,7,22,141,21
96,6776.559032258063,6628.103131627507,7651.42080645161,10369.821024973984,7253.109483249502,38679.013478560664,4,6,19,150,21
97,6906.554354838712,6531.588243168482,7608.095806451615,10161.558558792922,7212.480444435946,38420.27740768768,5,10,24,140,21
98,6858.444354838708,6840.759906177909,7652.19564516129,9968.68366805411,7285.313940401002,38605.39751463302,3,5,27,138,27
99,6690.442419354836,6867.961234969772,7775.798548387096,10081.841597294488,7262.696897064657,38678.74069707085,5,13,21,139,22
100,6761.233064516131,6760.742994899865,7614.484032258063,10260.159911550469,7207.37913206675,38603.99913529128,11,9,15,148,17
101,6596.087741935485,6709.847510047306,7751.7038709677345,10209.17233610822,7023.869700640428,38290.681159699176,2,12,21,149,16
102,6698.251935483871,6966.089268948911,7726.590806451615,10144.195020811652,7146.572550802594,38681.699582498644,9,11,16,149,15
103,6707.970806451613,6860.460189201994,7694.151290322579,10228.432965660766,7128.1109685326655,38619.126220169615,2,14,18,148,18
104,6610.115322580644,6807.344391062042,7740.473709677426,10475.22150364204,6977.867757268334,38611.022684230484,3,9,15,160,13
105,6570.233548387095,7045.758847862757,7818.490161290322,10052.56144640999,7018.0645058142745,38505.10850976444,6,12,23,143,16
106,6653.837580645163,6816.3813167760045,7908.056129032259,10010.1925182102,7094.405992613582,38482.87353727721,7,11,23,139,20
107,6515.785967741935,6930.804966119712,7871.798064516132,10173.350291363162,7159.821727768317,38651.56101750926,4,12,21,145,18
108,6536.251935483872,6968.111460616296,7828.945322580641,10226.703277835586,6963.886533489367,38523.89853000576,6,11,27,138,18
109,6593.287741935481,6999.5935690363585,8061.068064516133,10437.209396462014,7032.385957861736,39123.54472981173,3,11,25,150,11
110,6595.1488709677415,7140.870471294515,8059.904838709673,10194.99962539022,7133.01802828156,39123.94183464371,7,10,31,137,15
111,6643.4930645161285,7278.874705954094,8076.2488709677455,10279.578397502606,6830.228686088895,39108.423725029475,5,19,29,138,9
112,6619.164193548384,7458.21911537991,8032.517903225808,10262.450691987515,6862.481967904918,39234.83387204653,4,16,19,145,16
113,6597.217741935489,7424.453718784577,8157.3164516129045,10365.990754422479,6792.934632863238,39337.913299618696,3,19,20,148,10
114,6553.418870967739,7682.686029143142,8162.1017741935475,10228.94190426639,6941.715627385635,39568.86420595645,4,15,28,138,15
115,6544.594999999998,7534.73623046799,8277.487903225805,10350.893543184182,7123.417977169522,39831.1306540475,2,20,31,133,14
116,6636.721774193554,7579.8494992859305,8226.681774193548,10143.928990634755,6859.8975108808945,39447.07954918868,6,27,23,129,15
117,6625.771774193549,7774.154504086206,8123.2866129032245,10015.797570239334,6991.477903553103,39530.48836497541,3,28,22,130,17
118,6601.347903225804,7761.77046640636,8209.232258064516,10045.799401664928,6862.105603000868,39480.255632362474,2,31,29,128,10
119,6646.254677419354,7925.25402669384,8301.141290322576,9691.723491155048,6942.658932595194,39507.03241818601,4,29,32,117,18
120,6572.770161290319,8241.636169593585,8215.440967741939,10050.134365244534,6950.978015128512,40030.959678998894,1,42,31,114,12
121,6700.873225806452,8121.770220741005,8269.727580645158,9815.582315296568,6949.271110055227,39857.22445254441,7,30,36,112,15
122,6681.917096774198,8354.155030656491,8318.623387096772,9729.863475546314,6577.649779654103,39662.20876972788,8,40,26,115,11
123,6750.999032258064,8313.534573799932,8361.664516129025,9626.573152965664,6900.474716357125,39953.24599150981,3,46,32,103,16
124,6762.33580645161,8326.911332136951,8355.769193548394,9680.76901144641,7004.718476156614,40130.503819739984,7,44,31,105,13
125,6810.574032258065,8562.819004264933,8499.712580645162,9443.066415192508,6725.474887418959,40041.646919779625,5,53,34,94,14
126,6858.6929032258095,8375.230169805081,8302.237096774192,9723.658751300723,7149.106306914493,40408.9252280203,4,40,24,109,23
127,6741.952419354839,8375.109071280482,8203.954677419351,9581.812835587927,7028.9239869674775,39931.752990610075,8,44,27,100,21
128,6928.4080645161275,8191.202868293074,8465.298870967741,9469.542419354837,6834.789448264536,39889.24167139632,6,39,43,100,12
129,6933.346935483873,8125.482814719127,8315.483387096776,9549.790738813737,7065.554653129507,39989.658529243025,3,35,41,107,14
130,6999.220967741938,8180.1137581379435,8505.437903225806,9519.821810613948,6876.950057548989,40081.544497268624,9,43,41,100,7
131,7042.323548387097,8114.642425687999,8271.494838709683,9574.687070759619,6950.350028723735,39953.49791226813,12,38,29,108,13
132,7142.723548387095,8007.24734037162,8274.240967741927,9620.427585848076,6771.599809466853,39816.23925181557,10,36,36,99,19
133,6960.054354838707,8148.219517479393,8219.57887096774,9575.678616024969,7062.919454003839,39966.450813314645,4,42,35,105,14
134,7070.904516129031,8051.118483803834,8239.143064516129,9544.304370447448,7174.264629218725,40079.73506411517,7,34,31,105,23
135,6955.025161290321,8125.552531866217,8320.53629032258,9624.398480749212,6801.699821207628,39827.212285435955,9,38,39,101,13
136,7038.088709677423,8162.877963556767,8112.923548387098,9494.745041623304,6851.321964094266,39659.95722733886,5,43,28,108,16
137,6935.822258064518,8264.408710952328,8211.384032258064,9223.355707596256,6946.022437793224,39580.99314666439,11,51,35,83,20
138,7075.221129032259,8661.407538292535,8273.128387096776,9384.692169614988,6782.056640452956,40176.50586448952,7,52,33,93,15
139,7170.255161290322,8761.813249513334,8409.155322580647,9266.127611862647,6712.775792202843,40320.12713744979,8,63,26,91,12
140,7259.191774193546,8889.395271382495,8464.358387096774,9132.250322580652,6895.417138882307,40640.61289413578,3,73,30,75,19
141,7347.475483870969,9213.159870339268,8587.649677419353,9261.530338189385,6530.126039261399,40939.94140908038,8,71,34,73,14
142,7310.070161290322,9314.587231997277,8478.526612903224,9123.668106139436,6573.834691571521,40800.68680390177,7,84,28,66,15
143,6995.336774193547,8955.504230610912,8494.831290322578,9602.904308012487,6801.667714834335,40850.244317973855,8,57,30,94,11
144,7077.853709677416,9400.41113658196,8429.53887096774,9112.51124349636,6728.886137903222,40749.2010986267,11,82,33,59,15
145,7142.523870967748,9242.411626565301,8419.46258064516,9290.297330905303,6633.7446991086845,40728.4401081922,6,78,30,77,9
146,7064.298387096778,9243.517370606616,8579.639677419358,9252.301503642033,6474.356309304667,40614.11324806945,6,70,31,86,7
147,7257.843064516127,9399.968059245328,8473.189999999999,9237.937060353801,6545.9753365851275,40914.913520700386,7,79,29,75,10
148,7208.949999999999,9463.405684268584,8448.812903225806,9182.39968782518,6613.847406960796,40917.41568228036,9,81,30,70,10
149,7308.562258064517,9156.853510959505,8438.507419354839,9349.093262226845,6708.411308274726,40961.427758880425,13,68,27,78,14
150,7205.97274193549,9014.02672838775,8366.24112903226,9496.503210197709,6786.617050334904,40869.36085988811,4,59,29,97,11
151,7386.420645161291,9116.258817099932,8312.846935483874,9371.942695109266,6724.090686976656,40911.55977983102,7,68,30,79,16
152,7278.332258064517,9007.670015927793,8446.830645161292,9800.346264308018,6663.775656627085,41196.95484008871,6,62,28,96,8
153,7151.879677419356,9068.917823400592,8364.810806451613,9641.49030697191,6620.293434145627,40847.3920483891,6,69,28,83,14
154,7286.553548387098,8887.20038342487,8399.57935483871,9495.906992715916,6684.745386924172,40753.98566629077,8,66,28,85,13
155,7172.806612903229,9096.043759809345,8356.082741935475,9455.26819979188,6507.495752586672,40587.6970670266,9,72,24,85,10
156,7115.108387096778,8873.954003905332,8361.250967741933,9478.244386056193,6968.716708967525,40797.27445376775,6,59,28,92,15
157,7319.845483870969,8906.156879825325,8459.998225806454,9329.379994797084,6785.95531801722,40801.33590231705,12,62,26,86,14
158,7250.967903225805,8890.4729683652,8387.16,9343.690343392298,6732.547470023457,40604.83868500676,8,69,29,78,16
